algorithm,timestamp,keys_in_memory
SLIDING,1000.6000000000001,143
SLIDING,1001.0000000000002,222
SLIDING,1001.6000000000004,320
SLIDING,1002.0000000000005,386
SLIDING,1002.6000000000006,472
SLIDING,1003.0000000000007,519
SLIDING,1003.6000000000008,583
SLIDING,1004.0000000000009,616
SLIDING,1004.600000000001,669
TUMBLING,1005.0,693
SLIDING,1005.0000000000011,682
SLIDING,1005.6000000000013,692
SLIDING,1006.0000000000014,694
SLIDING,1006.6000000000015,687
SLIDING,1007.0000000000016,686
SLIDING,1007.6000000000017,679
SLIDING,1008.0000000000018,676
SLIDING,1008.600000000002,679
SLIDING,1009.000000000002,676
SLIDING,1009.6000000000022,675
SLIDING,1010.0000000000023,683
TUMBLING,1010.0,693
SLIDING,1010.6000000000024,773
SLIDING,1011.0000000000025,823
SLIDING,1011.6000000000026,866
SLIDING,1012.0000000000027,887
SLIDING,1012.6000000000029,887
SLIDING,1013.000000000003,865
SLIDING,1013.6000000000031,838
TUMBLING,1015.0,714
SLIDING,1014.0000000000032,802
SLIDING,1014.6000000000033,733
SLIDING,1015.0000000000034,704
SLIDING,1015.6000000000035,712
SLIDING,1016.0000000000036,709
SLIDING,1016.6000000000038,714
SLIDING,1017.0000000000039,712
TUMBLING,1020.0,733
SLIDING,1017.600000000004,715
SLIDING,1018.0000000000041,724
SLIDING,1018.6000000000042,716
SLIDING,1019.0000000000043,706
SLIDING,1019.6000000000045,715
SLIDING,1020.0000000000045,714
SLIDING,1020.6000000000047,809
SLIDING,1021.0000000000048,853
SLIDING,1021.6000000000049,882
SLIDING,1022.000000000005,898
SLIDING,1022.6000000000051,902
SLIDING,1023.0000000000052,889
SLIDING,1023.6000000000054,860
SLIDING,1024.0000000000055,824
SLIDING,1024.6000000000056,739
SLIDING,1025.0000000000057,708
TUMBLING,1025.0,722
SLIDING,1025.6000000000058,703
SLIDING,1026.000000000006,705
SLIDING,1026.600000000006,705
SLIDING,1027.0000000000061,704
SLIDING,1027.6000000000063,692
SLIDING,1028.0000000000064,696
SLIDING,1028.6000000000065,699
SLIDING,1029.0000000000066,694
